Particle,Stick Probability,n,r,d
44002,0.01,10369,83.5284,2.0895
33433,0.02,8779,83.5284,2.0519
25112,0.03,6724,83.7257,1.9906
23899,0.04,6557,83.5464,1.9859
17783,0.05,4553,83.5703,1.9033
18661,0.06,4970,83.3547,1.9243
14821,0.07,3642,83.3547,1.854
16281,0.08,4582,83.6301,1.9045
15848,0.09,4124,83.5284,1.8812
15771,0.1,4232,84.1487,1.8839
13175,0.11,3361,83.8689,1.8333
14173,0.12,3800,83.3547,1.8636
12847,0.13,3378,83.5464,1.836
14356,0.14,4086,83.6301,1.8786
14876,0.15,4441,83.8153,1.8964
11827,0.16,3097,83.8689,1.8148
10717,0.17,2895,83.7257,1.8003
11470,0.18,3034,84.0952,1.8091
14872,0.19,4665,83.3847,1.9098
13694,0.2,3922,83.8153,1.8684
9887,0.21,2627,84.0952,1.7766
11845,0.22,3292,83.4086,1.8309
10465,0.23,2785,84.1724,1.7894
12129,0.24,3467,83.4386,1.8424
11030,0.25,3010,84.0238,1.8076
10318,0.26,2739,83.678,1.788
10062,0.27,2654,83.7257,1.7806
10786,0.28,2638,84.0238,1.7778
10262,0.29,2930,83.6002,1.8036
11014,0.3,3290,83.8153,1.8287
10536,0.31,2859,84.1487,1.7954
11249,0.32,3109,83.6002,1.817
10698,0.33,2911,83.9345,1.8005
9760,0.34,2581,83.7437,1.7742
9307,0.35,2474,84.0536,1.7632
11834,0.36,3521,83.5225,1.8455
9738,0.37,2524,84.214,1.767
10364,0.38,2836,84.0238,1.7942
9145,0.39,2449,83.678,1.7627
9615,0.4,2752,84.1724,1.7867
9941,0.41,2705,83.6002,1.7855
9689,0.42,2566,83.3847,1.7747
9959,0.43,2686,83.3847,1.785
9706,0.44,2652,83.4865,1.7816
10166,0.45,3017,83.678,1.8098
9725,0.46,2854,83.4326,1.7985
10251,0.47,3071,84.0238,1.8121
9133,0.48,2365,83.6301,1.755
9969,0.49,2780,83.6301,1.7916
8677,0.5,2294,84.0536,1.7462
9458,0.51,2623,84.0595,1.7764
10369,0.52,3035,83.7735,1.8107
10145,0.53,2892,83.9345,1.799
7897,0.54,2198,83.4865,1.7392
10240,0.55,2836,83.4326,1.797
